"Entidad","Evento","Tipo de Programa","Categoría de Apoyo","Clasificación","Clasificación (Vieja Categoría)","Programa","Medida","Periodo","Monto Presupuestado","Fuente","Link","Fecha"
"Michoacán De Ocampo","COVID-19","Programas Fiscales","Crédito Subsidiado","Turismo (Hoteles y Servicios Turísticos)","Turismo","Plan Emergente para proteger la economía del estado de Michoacán.","Subsidio equivalente al 100% del Impuesto sobre Erogaciones por Remuneraciones al Trabajo Personal Prestado Bajo la Dirección y Dependencia de un Patrón, causado en los meses de marzo, abril, mayo, junio y julio tratándose de restaurantes, hoteles, balnearios y agencias de viajes.","Contingencia Sanitaria",,"Periódico Oficial del Gobierno Constitucional del Estado de Michoacán de Ocampo","http://www.periodicooficial.michoacan.gob.mx/download/2020/marzo/26/7a-7620.pdf","43916.0"
"Michoacán De Ocampo","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Turismo (Hoteles y Servicios Turísticos)","Turismo","Plan Emergente para proteger la economía del estado de Michoacán.","Se subsidiará el impuesto sobre hospedaje y el dinero se destinará al fideicomiso de promoción turística.","Contingencia y Nueva Normalidad",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Sector Industrial y de Transformación","Incentivos Fiscales","Plan Emergente para proteger la economía del estado de Michoacán.","Se condonan multas y recargos por pago extemporáneo de impuestos (extracción de materiales, enajenación de vehículos de motor usado, loterías, rifas y concursos).","Contingencia y Nueva Normalidad",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas Fiscales","Condonación de pago de servicio","Población General","Incentivos Fiscales","Plan Emergente para proteger la economía del estado de Michoacán.","Se condonan multas y recargos por pago extemporáneos de derechos vehículares.","Contingencia Sanitaria",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas Fiscales","Prórroga de pago de Impuesto","Todas las Empresas","Incentivos Fiscales","Plan Emergente para proteger la economía del estado de Michoacán.","Se aplaza al mes de agosto el pago de créditos fiscales firmes, del impuesto sobre nómina.","Contingencia y Nueva Normalidad",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas de Digitalización","Asesoría y Consultoría para Digitalización","PYMES","PYMES","Plan Emergente para proteger la economía del estado de Michoacán.","Impulso al consumo de productos y servicios de Michoacán mediante vinculación con plataformas digitales; asesoría a Pymes y comercios sobre el uso de plataformas.","Contingencia y Nueva Normalidad",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas de Asistencia Social","Vales y Despensas","Población Vulnerable","Apoyos alimenticios","Plan Emergente para proteger la economía del estado de Michoacán.","Poner en marcha el programa de abastecimiento de la canasta básica para las familias con paquetes de alimentos y abarrotes a tiendas y supermercados locales.","Contingencia Sanitaria",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas de Digitalización","Asesoría y Consultoría para Digitalización","Restaurantes y Tiendas","Comercios locales","Plan Emergente para proteger la economía del estado de Michoacán.","Habilitar una plataforma digital para la compra a un precio justo de paquetes, alimentos y abarrotes a tiendas y supermercados locales.","Contingencia y Nueva Normalidad",,"Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Michoacán De Ocampo","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Emprendedores","Emprendedores","Plan Emergente para proteger la economía del estado de Michoacán.","Quedan cancelados hasta julio todos los pagos vigentes con Sífinancia.","Contingencia Sanitaria",,"PLAN EMERGENTE PARA PROTEGER LA ECONOMÍA DE LAS FAMILIAS MICHOACANAS","https://michoacan.gob.mx/docs/Plan-Economico-Emergente.pdf","43915.0"
"Michoacán De Ocampo","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","MIPYMES","MIPYMES","Plan Emergente para proteger la economía del estado de Michoacán.","Fondo por mil millones de pesos para otorgar créditos a empresas familiares, micros y pequeñas de 6 mil pesos, de 50 mil y hasta 250 mil pesos. Créditos con periodos de gracia y con interés cero o mínimo, para apoyar a 10,000 micro y pequeñas empresas familiares.","Contingencia y Nueva Normalidad","1.0E9","Mensaje del gobernador de Michoacán, sobre el Plan Emergente para proteger la economía. Transmitido por el medio informativo ""Primera plana Michoacán"" en su canal de Youtube el 25 de marzo del 2020.","https://www.youtube.com/watch?v=yg2eOtaWvG8","43915.0"
"Quintana Roo","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Todos los Sectores","Incentivos Fiscales","Plan Juntos Saldremos Adelante","Para aquellas empresas que se solidaricen con su planta laboral, se les ofrece: a) ampliaciones de plazos de subsidios, b) diferimiento de pago de impuestos estatales, c) reducciones de montos a pagar, d) suspensión de plazos en materia de facultades de comprobación, e) suspender actos de fiscalización, f) apoyos regulatorios, g) aplazamiento de fechas de vencimiento de servicios estatales.","Contingencia y Nueva Normalidad",,"Mensaje en la página oficial del gobierno de Quintana Roo: qroo.gob.mx, el 19 de marzo del 2020.","https://qroo.gob.mx/portal/el-gobernador-carlos-joaquin-presento-el-plan-juntos-saldremos-adelante-para-enfrentar-el-coronavirus/","43909.0"
"Quintana Roo","COVID-19","Programas de Asistencia Social","Prórroga de pago de servicios","Población General","Agua Potable","Plan Juntos Saldremos Adelante","Para el aprovisionamiento de agua, no habrá cortes y habrá apoyo a más de 520 mil familias con sus pagos de este servicio.","Contingencia Sanitaria",,"Mensaje en cuenta oficial de Twitter del Gobernador Carlos Joaquín el 5 de abril del 2020.","https://twitter.com/CarlosJoaquin/status/1246898898406383616","43926.0"
"Quintana Roo","COVID-19","Programas de Asistencia Social","Condonación de pago de impuesto","Población Vulnerable","Servicios","Plan Juntos Saldremos Adelante","Para el servicio de la luz, se pagará el mes abril a más de 500 mil familias (con consumos de hasta 250kw/mensual)","Contingencia Sanitaria",,"Mensaje en cuenta oficial de Twitter del Gobernador Carlos Joaquín el 5 de abril del 2020.","https://twitter.com/CarlosJoaquin/status/1246898898406383616","43926.0"
"Quintana Roo","COVID-19","Programas de Asistencia Social","Insumos de Trabajo","Población Vulnerable","Servicios","Plan Juntos Saldremos Adelante","Para el servicio del gas, se apoyará con 4 kg de gas a más de 400 mil familias.","Contingencia Sanitaria",,"Mensaje en cuenta oficial de Twitter del Gobernador Carlos Joaquín el 5 de abril del 2020.","https://twitter.com/CarlosJoaquin/status/1246898898406383616","43926.0"
"Quintana Roo","COVID-19","Programas de Asistencia Social","Vales y Despensas","Población Vulnerable","Apoyos alimenticios","Plan Juntos Saldremos Adelante","Entrega de apoyos alimentarios casa por casa a mas de 525 mil familias de todo Quintana Roo","Contingencia Sanitaria",,"Mensaje en cuenta oficial de Twitter del Gobernador Carlos Joaquín el 5 de abril del 2020.","https://twitter.com/CarlosJoaquin/status/1246898898406383616","43926.0"
"Sonora","COVID-19","Programas de Asistencia Social","Vales y Despensas","Población Vulnerable","Apoyos alimenticios","Programa ""Ante el coronavirus, todos jalamos"".","Establecer programas alimentarios para los que se encuentran en extrema vulnerabilidad.","Contingencia Sanitaria",,"""Mensaje importante a las y los sonorenses"", transmitido a través del canal de Youtube de la Gobernadora Claudia Pavlovich, el 25 de marzo del 2020.","https://www.youtube.com/watch?v=pcB9gUfnDK0","43915.0"
"México","COVID-19","Programas de Asistencia Social","Transferencia Directa (Efectivo o Transferencia Bancaria)","Población Vulnerable","Apoyos alimenticios","Acciones para apoyar la economía de las familias mexiquenses","1,600 MPD en adelantos de entregas de apoyos para las familias más vulnerables y apoyos alimentarios a amas de casa y artesanos.","Adaptados","1.6E9","Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"México","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","Sector Agrícola-Ganadero-Pesquero","Producción Agrícola","Acciones para apoyar la economía de las familias mexiquenses","Fondo de 300 MDP a productores del campo para la compra de insumos, equipamiento, fertilizantes y canastas para el autoconsumo.","Contingencia Sanitaria","3.0E8","Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"México","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","MIPYMES","MIPYMES","Acciones para apoyar la economía de las familias mexiquenses","Fondo de 200 MDP para proyectos productivos para estimular el autoempleo. Impulso a proyectos productivos y microcréditos a tasa cero y periodo de gracia a 4 meses.","Contingencia y Nueva Normalidad","2.0E8","Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"México","COVID-19","Programas de Estímulo Económico","Asesoría y Consultoría para Digitalización","MIPYMES","MIPYMES","Acciones para apoyar la economía de las familias mexiquenses","Impulso a economias locales y pequeños negocios mediante la campaña ""yo consumo local"" que promueve las compras en comercios locales.","Contingencia y Nueva Normalidad",,"Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"México","COVID-19","Programas Fiscales","Condonación de pago de impuesto","PYMES","MIPYMES","Acciones para apoyar la economía de las familias mexiquenses","Descuento del 50% al impuesto de nómina a empresas con menos de 50 trabajadores para que se mantengan todos los empleos.","Contingencia Sanitaria",,"Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"México","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","PYMES","PYMES","Acciones para apoyar la economía de las familias mexiquenses","Generación de línea de crédito por 300 MDP a través de la banca de desarrollo para apoyar a las PYMES.","Contingencia y Nueva Normalidad","3.0E8","Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"México","COVID-19","Programas Fiscales","Compras Gubernamentales","Población General","Obra pública","Acciones para apoyar la economía de las familias mexiquenses","Inversión pública en infraestructura con prioridad a empresas locales mexiquenses para que, de las obras que se realicen este año, 500 millones de pesos sean ejecutados por empresas mexiquenses.","Nueva Normalidad","5.0E8","Mensaje transmitido por la cuenta oficial del Gobernador Alfredo del Mazo, el 25 de marzo del 2020.","https://twitter.com/alfredodelmazo/status/1242881003619667968?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed&ref_url=notion%3A%2F%2Fwww.notion.so%2FReferencias-18c082a5c9f54c04978327cb99f02363%3Fp%3De383b048ccff4ddaa3d36d34addbebdc","43915.0"
"Querétaro","COVID-19","Programas de Asistencia Social","Vales y Despensas","Población Vulnerable","Apoyos alimenticios",,"La secretaría de Desarrollo Social entregará casa por casa apoyos alimentarios, sin condicionamiento, a sus beneficiarios.","Contingencia Sanitaria",,"Anuncios importantes 4/4/2020, mensaje transmitido por el gobernador en su cuenta oficial de Youtube Pancho Dominguez el 4 de abril del 2020.","https://www.youtube.com/watch?v=ill7IzA79e0","43925.0"
"Querétaro","COVID-19","Programas de Digitalización","Digitalización de Trámites","Población General","Población en general",,"Se instaura un micrositio para canalizar y captar las iniciativas de apoyos ciudadanos.","Contingencia Sanitaria",,"Anuncios importantes 4/4/2020, mensaje transmitido por el gobernador en su cuenta oficial de Youtube Pancho Dominguez el 4 de abril del 2020.","https://www.youtube.com/watch?v=ill7IzA79e0","43925.0"
"Querétaro","COVID-19","Programas de Asistencia Social","Empleo Temporal","Desempleados","Ocupación temporal","Vigilante Ciudadano","Iniciativa Vigilante Ciudadano, dirigida a ciudadanos entre 20 y 40 años de edad, sin empleo formal y con dependientes económicos, podrán participar como brigadistas ayudando como colaboradores de las instituciones de seguridad y protección civil, recibiendo $1500 pesos semanales, teniendo labores de refuerzo de las labores de salubridad ciudadana.","Contingencia Sanitaria",,"Periódico Oficial del Estado de Querétaro","https://lasombradearteaga.segobqueretaro.gob.mx/getfile.php?p1=20200425-01.pdf","43924.0"
"Morelos","COVID-19","Programas de Estímulo Económico","Préstamos","MIPYMES","MIPYMES","Plan Estatal de Apoyo a la Economía y al Empleo","Creación de una bolsa de 300 millones de pesos, para atender los efectos adversos que la pandemia de coronavirus COVID-19 genere a las empresas en el estado.","Contingencia Sanitaria","3.0E8","Artículo publicado en la página oficial del gobierno del Estado de Morelos el 24 de marzo del 2020.","https://morelos.gob.mx/?q=prensa/nota/anuncia-cuauhtemoc-blanco-plan-estatal-de-apoyo-la-economia-y-al-empleo-por-pandemia","43914.0"
"Morelos","COVID-19","Programas de Estímulo Económico","Préstamos","MIPYMES","MIPYMES","Plan Estatal de Apoyo a la Economía y al Empleo","Morelos Contigo: Créditos para microempresarios sin intereses para la reactivación económica de los negocios formales, con destino a las zonas marginadas y de alta violencia en el estado de Morelos. Montos de hasta 5 mil pesos enfocados a la adquisición de capital de trabajo y a gastos de operación.","Contingencia y Nueva Normalidad",,"Página del Fondo Morelos.","http://www.fondomorelos.gob.mx/morelos-contigo/","43914.0"
"Hidalgo","COVID-19","Programas de Asistencia Social","Transferencia Directa (Efectivo o Transferencia Bancaria)","Población General","Sector informal","Operativo Escudo","Creación de ""Seguro de Emergencia"" para trabajadores que resulten positivos por coronavirus y que no tengan seguridad social. El seguro es por un monto de $3,750.00 pesos durante el mes de aislamiento que dichas personas estarán sin trabajar.","Contingencia Sanitaria",,"Diario Oficial del Estado de Hidalgo","http://periodico.hidalgo.gob.mx/?p=37660","43927.0"
"Hidalgo","COVID-19","Programas de Asistencia Social","Prórroga de pago de servicios","Población General","Agua Potable","Operativo Escudo","Prórroga de tres meses de cortes y cobros por reconexión del servicio de agua potable. Se brindará el servicio de agua potable a todos los usuarios, tengan o no contrato. En los casos en los que no se tenga servicio, se apoyará con pipas de agua.","Contingencia y Nueva Normalidad",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Asistencia Social",,"Población General","Regulación de precios","Operativo Escudo","Prohibición de incremento de precios en productos de primera necesidad.","Contingencia Sanitaria",,"Mensaje en cuenta oficial de Twitter del Gobernador Omar Fayad","https://twitter.com/omarfayad/status/1242592658721247232","43914.0"
"Hidalgo","COVID-19","Programas de Asistencia Social","Prórroga de pago de créditos","Mujeres","Prórroga financiamientos","Operativo Escudo","Prórroga por los próximos tres meses en el cobro de todos los financiamientos que los hidalguenses tengan con el Gobierno del Estado dentro del programa Crece Mujer Emprendedora","Contingencia y Nueva Normalidad",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Asistencia Social","Prórroga de pago de créditos","MIPYMES","Prórroga financiamientos","Operativo Escudo","Prórroga por los próximos tres meses en el cobro de todos los financiamientos que los hidalguenses tengan con el Gobierno del Estado dentro del programa: Pon Tu Negocio Yo te Apoyo","Contingencia y Nueva Normalidad",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Asistencia Social","Prórroga de pago de créditos","Estudiantes","Prórroga financiamientos","Operativo Escudo","Prórroga por los próximos tres meses en el cobro de todos los financiamientos que los hidalguenses tengan con el Gobierno del Estado dentro del programa: Créditos Educativos de Financiamiento para Movilidad Internacional.","Contingencia y Nueva Normalidad",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","MIPYMES","MIPYMES","Operativo Escudo","Línea contingente de crédito para micro, pequeños y medianos comercios, con prórroga de pago de tres meses, a Tasa Cero y con un plazo de un año para pagarlo.","Contingencia y Nueva Normalidad",,"Mensaje en cuenta oficial de Twitter del Gobernador Omar Fayad","https://twitter.com/omarfayad/status/1242595868735406084","43914.0"
"Hidalgo","COVID-19","Programas de Estímulo Económico","Condonación de pago de impuesto","MIPYMES","Incentivos Fiscales","Operativo Escudo","Para el periodo marzo-abril 2020, se exime en un 50% el pago del Impuesto Sobre Nómina a las micro, pequeñas y medianas empresas y 5% a todas las restantes.","Contingencia Sanitaria",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Estímulo Económico","Condonación de pago de impuesto","Turismo (Hoteles y Servicios Turísticos)","Incentivos Fiscales","Operativo Escudo","Para el periodo marzo-abril 2020, se exime en un 100% el pago del Impuesto por la Prestación de Servicios de Hospedaje.","Contingencia Sanitaria",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Todas las Empresas","Fiscalización","Operativo Escudo","Suspensión de acciones programadas de fiscalización en contribuciones estatales para empresas hidalguenses.","Contingencia Sanitaria",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Asistencia Social","Vales y Despensas","Población Vulnerable","Apoyos alimenticios","Operativo Escudo","Dotación alimentaria HIDALGO TE NUTRE en regiones de alta marginación (mujeres embarazadas, niños en edad escolar, discapacitados, adultos mayores).","Contingencia Sanitaria",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Estímulo Económico","Equipo de Protección","Sector de la Construcción","Obra pública","Operativo Escudo","La obra pública no se detiene. Se fortalecerán los controles sanitarios para proteger a los trabajadores de la construcción.","Contingencia Sanitaria",,"Gobierno del Estado de Hidalgo","http://www.hidalgo.gob.mx/","43914.0"
"Hidalgo","COVID-19","Programas de Digitalización","Asesoría y Consultoría para Digitalización","Restaurantes y Tiendas","Comercios locales","Operativo Escudo","Puesta en operación del portal en internet ""Consume Hidalgo"" para que la gente pueda adquirir bienes y servicios con descuentos y entregas a domicilio.","Contingencia y Nueva Normalidad",,"Mensaje en cuenta oficial de Twitter del Gobernador Omar Fayad","http://sits.hidalgo.gob.mx/consume_hidalgo/","43946.0"
